# la quaterna (i,j,k,y) indica l'esecuzione del j-esimo task dell'i-esimo job sulla k-esima macchina con costo y
#		M1 M2 M3 M4
# O11   7   6  4  5
# O12   4 	8  5  6
# O13   9 	5  4  7
# O21   2 	5  1  3
# O22   4 	6  8  4
# O23   9 	7  2  2
# O31   8 	6  3  5
# O32   3 	5  8  3
#

1,1,1,7
1,1,2,6
1,1,3,4
1,1,4,5
1,2,1,4
1,2,2,8
1,2,3,5
1,2,4,6
1,3,1,9
1,3,2,5
1,3,3,4
1,3,4,7
2,1,1,2
2,1,2,5
2,1,3,1
2,1,4,3
2,2,1,4
2,2,2,6
2,2,3,8
2,2,4,4
2,3,1,9
2,3,2,7
2,3,3,2
2,3,4,2
3,1,1,8
3,1,2,6
3,1,3,3
3,1,4,5
3,2,1,3
3,2,2,5
3,2,3,8
3,2,4,3
